Text ,Slang,Abbreviations,Text meaning
hết ckgmđt x gene xong tui quay ra bảo chị bên cạnh em tưởng bài này có trúc nhân ra hát cùng mng cơ vừa dứt mồm phát cái chữ trúc nhân to đùng trên màn led xong tui hoá thú cmnl mà,"cmnl, con mẹ nó luôn",,hết có không giữ mất đừng tìm và Gene xong tui quay ra bảo chị bên cạnh em tưởng bài này có trúc nhân ra hát cùng mọi người cơ vừa dứt mồm phát cái chữ trúc nhân to đùng trên màn led xong tui hoá thú luôn mà
Trời ơi ngay sau đó bài Không Ra Gì được mix lại cho cháy hơn tôi cũng thét váng tai luôn ôi mẹ ơi nó cháy điênnnnn,cháy điên,,Trời ơi ngay sau đó bài Không Ra Gì được mix lại cho náo nhiệt tôi cũng thét váng tai luôn ôi mẹ ơi nó cháy cực
hic cái đoạn sau quá là trôi nối vào thông điệp sống phải có niềm tin sau đó là niềm tin chiến thắng zone t đứng chị em khóc tu tu,,,hic cái đoạn sau quá là trôi nối vào thông điệp sống phải có niềm tin sau đó là niềm tin chiến thắng zone tôi đứng chị em khóc tu tu
Xong mn shoutout cho đội tuyển hôm nay thi đấu người hát còn là chú Hồng Sơn má ơi nó tự hào kinh khủng khiếppp,,,Xong mọi người shoutout cho đội tuyển hôm nay thi đấu người hát còn là chú Hồng Sơn má ơi nó tự hào kinh khủng khiếppp
Trúc Nhàn Không ra gì xong lại còn đệm thêm 1 đoạn Guitar điện Kiếp Ve Sầu xong anh Bo bay ra Trời ơi đaiwbsiwbsjsbwisgaksnsjdoajabsj,,,Trúc Nhàn Không ra gì xong lại còn đệm thêm 1 đoạn Guitar điện Kiếp Ve Sầu xong anh Bo bay ra Trời ơi 
Khoảnh khắc anh Bo trượt zipline bay xuống tôi đã đứng họng luôn ko có ngôn từ nào diễn tả nổi nữa TT,,ko,Khoảnh khắc anh Bo trượt zipline bay xuống tôi đã đứng họng luôn không có ngôn từ nào diễn tả nổi nữa 
Có mấy bài phối lại í đỉnh,,,Có mấy bài phối lại í đỉnh
hồi D1 cái đoạn chuyển cảnh từ Thu Hoài kết bài 5 nấm mồ hiện lên xong đó cũng là background của DCHL nó buồn mà nó match nhau kinh khủng t phải đem khoe cái đoạn ấy với 7749 người rồi ấy Vậy mà D2 chú Thư lại làm mọi thứ còn mượt hơn nữa storytelling đỉnh phát khóc,,DCHL,hồi D1 cái đoạn chuyển cảnh từ Thu Hoài kết bài 5 nấm mồ hiện lên xong đó cũng là background của dẫu có lỗi lầm nó buồn mà nó match nhau kinh khủng tao phải đem khoe cái đoạn ấy với 7749 người rồi ấy Vậy mà D2 chú Thư lại làm mọi thứ còn mượt hơn nữa storytelling đỉnh phát khóc
uh chuyển cảnh rồi kịch bản đỉnh cao thật sự nó mượt thôi rồi ấy,,,ừ chuyển cảnh rồi kịch bản đỉnh cao thật sự nó mượt thôi rồi ấy
Cả sau Bao tiền một mớ bình yên tung 1 đống giấy là chuyển qua Tỉnh thức sau giấc ngủ đông có chú Hồng Sơn cầm chổi quét giấy lun,,,Cả sau Bao tiền một mớ bình yên tung 1 đống giấy là chuyển qua Tỉnh thức sau giấc ngủ đông có chú Hồng Sơn cầm chổi quét giấy luôn
Mọi người đi concert nhặt pháo giấy bé xinh cute về làm kỷ niệm,,,Mọi người đi concert nhặt pháo giấy bé xinh cute về làm kỷ niệm
Tôi thó được cả pháo giấy Trống Cơm cỡ 5 6m quấn được chục vòng quanh cổ mang về,thó,,Tôi lấy được cả pháo giấy Trống Cơm cỡ 5 6m quấn được chục vòng quanh cổ mang về
Đ hiểu sao họ mang được Anh Tuấn lên kéo cello và sau đó và Dẫu có lỗi lầm,đ,,không hiểu sao họ mang được Anh Tuấn lên kéo cello và sau đó và Dẫu có lỗi lầm
Họ chỉn chu họ chuyên nghiệp họ tâm huyết họ yêu thương fan họ mở concert chỉ để lãi tcảm họ là ATVNCG,,ATVNCG,Họ chỉn chu họ chuyên nghiệp họ tâm huyết họ yêu thương fan họ mở concert chỉ để lãi tình cảm họ là anh trai vượt ngàn chông gai
Concert ATVNCG2024,,ATVNCG,concert anh trai vượt ngàn chông gai
Lúc hết chú Tuấn gọi tất cả ekip lên chụp ảnh bảo fan hô tên chú Thư chú Vịnh chị Hạnh chú Long Kenji,,,Lúc hết chú Tuấn gọi tất cả ekip lên chụp ảnh bảo fan hô tên chú Thư chú Vịnh chị Hạnh chú Long Kenji
BTC tặng mỗi fan kẹo nước miếng giữ nhiệt,,BTC,ban tổ chức tặng mỗi fan kẹo nước miếng giữ nhiệt
Cả fan BTC các anh tài hở ra lại Cảm ơn vì đã đến,,BTC,Cả fan ban tổ chức các anh tài hở ra lại Cảm ơn vì đã đến
Delay 30p vì fan vẫn còn đang xếp hàng checkin họ nhất định chờ tất cả gai con mới bđầu,gai con,,Delay 30 phút vì fan vẫn còn đang xếp hàng checkin họ nhất định chờ tất cả gai con mới bắt đầu
Staff chào gai con nhé từ cổng vào đến cổng về còn chúc ngủ ngon,gai con,,Staff chào gai con nhé từ cổng vào đến cổng về còn chúc ngủ ngon
Họ cho chúng tôi trải nghiệm tuyết rơi ngay tại Hưng Yên,,,Họ cho chúng tôi trải nghiệm tuyết rơi ngay tại Hưng Yên
Anh tài thứ 34 là MC Anh Tuấn và anh tài thứ 35 là kim chủ Techcombank vì ctui cổ vũ họ nhiệt tình không khác gì các anh tài,kim chủ,MC,Anh tài thứ 34 là người dẫn chương trình Anh Tuấn và anh tài thứ 35 là nhà tài trợ Techcombank vì chúng tôi cổ vũ họ nhiệt tình không khác gì các anh tài
Delay 30p mà NT1 chỗ tôi k một ai phàn nàn mng cứ chill tâm tình hỏi han ai từ đâu đến Rồi mng tự ngồi ôn bài vui lắm Khúc đọc lời nhắn của chủ choẹ tôi đã quay ra ôm người chị từ HCM một cái ôm ấm âp vô cùng,chủ chọe,HCM,Delay 30 phút mà nhà trẻ 1 chỗ tôi không một ai phàn nàn mọi người cứ chill tâm tình hỏi han ai từ đâu đến Rồi mọi người tự ngồi ôn bài vui lắm Khúc đọc lời nhắn của chương trình tôi đã quay ra ôm người chị từ Hồ Chí Minh một cái ôm ấm âp vô cùng
tui thấy mng nỗ lực kinh khủng nên loa mic có lỗi thì tui thấy thông cảm dã man có mấy bạn chê là z là thiếu tôn trọng mấy anh huhu tội ekip vch lỗi thì lỗi chứ nói z nặng lắm luôn Bạn nonfan nào cứ lên kêu mình hát toàn bộ có backtrack nữa tr ơi hát live hay quá xong bị bác bỏ bằng việc bật backtrack hả,,,tui thấy mọi người nỗ lực kinh khủng nên loa mic có lỗi thì tui thấy thông cảm dã man có mấy bạn chê là vậy là thiếu tôn trọng mấy anh huhu tội ekip vãi chưởng lỗi thì lỗi chứ nói vậy nặng lắm luôn Bạn nonfan nào cứ lên kêu mình hát toàn bộ có backtrack nữa trời ơi hát live hay quá xong bị bác bỏ bằng việc bật backtrack hả
Có ai dựng booth ekip không nhỉ,,,Có ai dựng booth ekip không nhỉ
đm mà đoạn chú tự long bảo bao nhiêu vé ko quan trọng tôi cười to vl,"dm, vl",,trời ơi mà đoạn chú tự long bảo bao nhiêu vé không quan trọng tôi cười to lắm
lúc chú bảo 10k người ở đây t với bạn t quay sang bảo 50k mà chú,,,lúc chú bảo 10 nghìn người ở đây tao với bạn tao quay sang bảo 50 nghìn mà chú
chú mở bài gián tiếp,,,chú mở bài gián tiếp
số cũng chỉ để đếm thôi,,,số cũng chỉ để đếm thôi
phát ngôn đỉnh nóc,đỉnh nóc,,phát ngôn đỉnh quá
Đúng vậy bao nhiêu vé không quan trọng sold out hay không không quan trọng 10k 50k 78k hay 100k cũng không quan trọng,,,Đúng vậy bao nhiêu vé không quan trọng sold out hay không không quan trọng 10 nghìn 50 nghìn 78 nghìn hay 100 nghìn cũng không quan trọng
Số cũng chỉ để đếm best khịa,khịa,,Số cũng chỉ để đếm best trêu chọc
bên tụi t cũng cười rồ t v bạn Gai con đứng bên cạnh còn bảo nhau đúng là quân triều đình cỡ nào cũng nói đc,quân triều đình,,bên tụi tôi cũng cười rồ tôi và bạn yêu thích chương trình anh trai vượt ngàn chông gai đứng bên cạnh còn bảo nhau đúng là người có sức ảnh hưởng ở các cơ quan quốc gia cỡ nào cũng nói được
đỉnk,,,đỉnh
số chỉ để đếm thôi đi coi có nhiều khoảnh khắc hay thiệc,,,số chỉ để đếm thôi đi coi có nhiều khoảnh khắc hay thiệc
Khu tui còn có b bảo chú cảm ơn có 10k thì ai đc cảm ơn ai k,,,Khu tui còn có bạn bảo chú cảm ơn có 10 nghìn thì ai được cảm ơn ai không
chỗ tôi cũng cười vl cười nghe nó thấm thsu,vl,,chỗ tôi cũng cười lấy cười để nghe nó thấm thật sự
nguyên cái khu t ngồi cười rần rần,,,nguyên cái khu tôi ngồi cười rần rần
Chú nói đúng mà tầm này t đâu quan tâm bao nhiêu vé t chỉ quan tâm t có vé ko thôi,,,Chú nói đúng mà tầm này ta đâu quan tâm bao nhiêu vé ta chỉ quan tâm ta có vé ko thôi
Chú nói đúng quá chòi người muốn biết sẽ hiểu với chúng ta bây giờ điều quan trọng là có vé hay k thôi,quá chòi,,Chú nói đúng quá luôn người muốn biết sẽ hiểu với chúng ta bây giờ điều quan trọng là có vé hay không thôi
Chú thoát pressing rất chuyên nghiệp,thoát pressing,,Chú xử lý tình huống dễ dàng rất chuyên nghiệp
thật sự xin lỗi vì đã cười hơi to,,,thật sự xin lỗi vì đã cười hơi to
Đúng là A Long trong truyền thuyết chả ngán gì ai,,,Đúng là Anh Long trong truyền thuyết chả ngán gì ai
Con số cũng chỉ để đếm,,,Con số cũng chỉ để đếm
Bao nhiêu cũng chỉ là số đếm,,,Bao nhiêu cũng chỉ là số đếm
Chú thâm kkkk,,,Chú thâm hahaha
Tôi đã hét lên up lên threads cho tao,,,Tôi đã hét lên up lên threads cho tao
Cả hàng ghế tui cười ngả nghiêng,,,Cả hàng ghế tui cười ngả nghiêng
Bên tôi cũng cười khà khà,,,Bên tôi cũng cười khà khà
EQ dương vô cùng cmnl,cmnl,"EQ, cmnl",trí tuệ cảm xúc dương vô cùng luôn
Con số đối với tôi cũng chỉ là để đếm thôiiii,,,Con số đối với tôi cũng chỉ là để đếm thôi
Con số cũng chỉ để đếm thôi bọn t cười vcl,vcl,,Con số cũng chỉ để đếm thôi bọn tôi cười lớn
công tâm mà nói thì khâu tổ chức hôm qua nó cũng như bao chiếc show vn t từng đi thôi nhưng trộm vía cũng ko bị gặp chuyện gì khó chịu nhưng cái đỉnh nhất t nghĩ đéo show nào làm đc là tụ đc hội người trẩu tre chúng tôi đứng hát nhạc dân tộc kiểu mọi người đồng thanh hát chèo í ê luôn,"trẩu tre, đéo",vn,công tâm mà nói thì khâu tổ chức hôm qua nó cũng như bao chiếc show việt nam tôi từng đi thôi nhưng trộm vía cũng không bị gặp chuyện gì khó chịu nhưng cái đỉnh nhất t nghĩ đâu show nào làm được là tụ được hội người trẻ tuổi chúng tôi đứng hát nhạc dân tộc kiểu mọi người đồng thanh hát chèo í ê luôn
với cả xây quả sân khấu điên vl,"điên vl, quả sân khấu",vl,với cả xây khu vực sân khấu đỉnh quá
btw cái đoạn rap t thích nhất trong cả cái show này là câu nhưng mà để giới trẻ nghe được nhạc trịnh thì đối với anh là thế mới ngầu của hà lê xong show này kiểu,,,btw cái đoạn rap tôi thích nhất trong cả cái show này là câu nhưng mà để giới trẻ nghe được nhạc trịnh thì đối với anh là thế mới ngầu của hà lê xong show này kiểu
và t vẫn k thể thẩm đc cái lightstick xốp của tcb xấu ỉa,,,và tao vẫn không thể thẩm được cái lightstick xốp của techcombank xấu ỉa
sân khấu đỉnh quá đọc post anh rhym xong mới nhớ hqua lỗi mic bé vl chỗ t có mấy đoạn nhạc to hơn tiếng hát xong lỗi inear mấy đoạn í rap vs hát lệch cmn nhạc,"vl, cmn",vl,sân khấu đỉnh quá đọc post anh rhym xong mới nhớ hôm qua lỗi mic bé quá chỗ tui có mấy đoạn nhạc to hơn tiếng hát xong lỗi inear mấy đoạn í rap và hát lệch luôn nhạc
đm đa đa hqua đẹp trai vl xin lỗi ai nonfan đứng cạnh tôi vì tôi hét quá nhiều,"dm, vl",vl,ôi trời đa đa hôm qua đẹp trai quá xin lỗi ai nonfan đứng cạnh tôi vì tôi hét quá nhiều
cái chỗ t cảm giác cũng hơi trầm so với t hic cái đoạn trả bài 9M cảm giác cũng có mấy mống xung quanh chỗ t í nói xong cũng thấy ngài ngại lành lạnh trách t vào sát giờ nên cũng đứng cuối cuối,mống,,cái chỗ tao cảm giác cũng hơi trầm so với tao hic cái đoạn trả bài chín muồi cảm giác cũng có mấy bạn xung quanh chỗ tao í nói xong cũng thấy ngài ngại lành lạnh trách tao vào sát giờ nên cũng đứng cuối cuối
Day1 nó hơn hẳn các concert mk từng xem ở VN ý Nhưng day2 nó hơi xu ai mà trải nghiệm day1 r là xem day2 sẽ có chút thất vọng,"
xu",VN,Day1 nó hơn hẳn các concert mình từng xem ở việt nam ý Nhưng day2 nó hơi tệ ai mà trải nghiệm day1 rồi là xem day2 sẽ có chút thất vọng
Tôi hqua đứng ở booth của Cường Seven bảo an dẫn Binz đi xuyên qua booth thế là xô bọn t ra kết quả tôi bị xô ngã sml xong hỏng booth của các bạn bên Cường Seven luôn vừa đau vừa cay,sml,,Tôi hôm qua đứng ở booth của Cường Seven bảo an dẫn Binz đi xuyên qua booth thế là xô bọn tôi ra kết quả tôi bị xô ngã mạnh xong hỏng booth của các bạn bên Cường Seven luôn vừa đau vừa cay
hôm qua chỗ booth hỗn loạn luôn ấy t kb trong sg ntn mà cái chỗ hqua đấy nó chật điên lúc bthg ko sao mà lúc mấy anh ra là chật vl muốn đi tiếp cũng ko có chỗ mà đi cơ nên t k hiểu lắm những ng k định đi booth thì có đường khác vào thẳng sân k,"điên, vl","sg, vl",hôm qua chỗ booth hỗn loạn luôn ấy tôi không biết trong sài gòn như thế nào mà cái chỗ hôm qua đấy nó chật kinh khủng lúc bình thường không sao mà lúc mấy anh ra là chật lắm muốn đi tiếp cũng không có chỗ mà đi cơ nên tôi không hiểu lắm những người không định đi booth thì có đường khác vào thẳng sân không
Trải nghiệm quá tệ hại với staff chương trình,,,Trải nghiệm quá tệ hại với staff chương trình
Core staff thì dễ thương bạn ơi nhưng các đội thuê thêm thì khó kiểm soát Đợt trong SG là phải thuê hẳn team bảo an của chú Tùng Yuki ấy,,SG,Core staff thì dễ thương bạn ơi nhưng các đội thuê thêm thì khó kiểm soát Đợt trong sài gòn là phải thuê hẳn team bảo an của chú Tùng Yuki ấy
T k cần biết thuê thêm hay ntn xếp hàng dài mấy cây số không 1 bóng staff điều phối vào line soát vé thì staff bảo vào hết đi không cần theo zone không ai take care chỉ đường vào zone mà 4r 5h kém tắc cứng đường khu khác lạc sang là vì thế luôn ấy không hề kiểm vé zone 12 rồi không đóng zone cho khán giả ra đứng đầy ngoài lối đi giữa zone ngồi với đứng nói thì kêu đi standing phải chấp nhận Cổ Động Việt làm ăn cực kì bát nháo tệ hại,,,Tôi không cần biết thuê thêm hay như thế nào xếp hàng dài mấy cây số không 1 bóng staff điều phối vào line soát vé thì staff bảo vào hết đi không cần theo zone không ai take care chỉ đường vào zone mà 4 rưỡi 5 giờ kém tắc cứng đường khu khác lạc sang là vì thế luôn ấy không hề kiểm vé zone 12 rồi không đóng zone cho khán giả ra đứng đầy ngoài lối đi giữa zone ngồi với đứng nói thì kêu đi standing phải chấp nhận Cổ Động Việt làm ăn cực kì bát nháo tệ hại
Mình là gai con chả đi đc concert nghe mấy dòng này muốn xin lỗi bạn quá xin lỗi bạn vì những trải nghiệm tệ này ạ,gai con,,Mình là người ủng hộ chương trình anh trai vượt ngàn chông gai chả đi được concert nghe mấy dòng này muốn xin lỗi bạn quá xin lỗi bạn vì những trải nghiệm tệ này ạ
K bạn lquan gì đâu mà xin lỗi ạ hqua rất vui trừ staff focus cam và âm thanh lỗi và 1 số người vô ý thức vl ra thì t vẫn rất enjoy các tiết mục dù zone t chán vl mn k quẩy nhưng t vẫn quẩy tới cuối đứt cmn cuống họng,"quẩy, vl, cmn",vl,Không bạn liên quan gì đâu mà xin lỗi ạ hôm qua rất vui trừ staff focus cam và âm thanh lỗi và 1 số người vô ý thức lắm ra thì tui vẫn rất enjoy các tiết mục dù zone tui chán lắm mọi người không nhảy nhưng tui vẫn nhảy tới cuối đứt luôn cuống họng
Quẩy mà ăn với phở thì đúng là hết nước chấm,hết nước chấm,,Quẩy mà ăn với phở thì đúng là ngon
Cô bán ốc bảo tôi nếu hết nước chấm thì gọi cô để cô mang thêm cho,,,Cô bán ốc bảo tôi nếu hết nước chấm thì gọi cô để cô mang thêm cho
Về trải nghiệm ngoài lề thì day 1 có vẻ tốt hơn ít feedback chê hơn Day 2 thì không lẽ do đông quá mà không kiểm soát dc Bù lại thì cũng rất ghen tị vì huhuhu các tiết mục của day 2 xịn quá,,,Về trải nghiệm ngoài lề thì day 1 có vẻ tốt hơn ít feedback chê hơn Day 2 thì không lẽ do đông quá mà không kiểm soát dc Bù lại thì cũng rất ghen tị vì huhuhu các tiết mục của day 2 xịn quá
Toi là TNV nhưng tương đối không ưa bảo an ở khu toi đứng vì mấy chả cứ cợt nhả giỡn giỡn với chị leader khu vực trong lúc đang làm việc nghiêm túc kiểu rất hỏi chấm kì quặc luôn ý,hỏi chấm,TNV,Toi là tình nguyện viên nhưng tương đối không ưa bảo an ở khu toi đứng vì mấy chả cứ cợt nhả giỡn giỡn với chị leader khu vực trong lúc đang làm việc nghiêm túc kiểu rất thấy lạ kì quặc luôn ý
Cái chê nhất hôm qua là lúc đi về tui ngồi Kaka phải đi cổng sau tắc lòi vì lối đó trùng lối đỗ xe ô tô,lòi,,Cái chê nhất hôm qua là lúc đi về tui ngồi Kaka phải đi cổng sau tắc kinh vì lối đó trùng lối đỗ xe ô tô
Nhạc chèo nhưng anh chị em quẩy nhiệt tình vẫy lighstick nhiệt tình như nhạc edm vậy,quẩy,,Nhạc chèo nhưng anh chị em nhảy nhiệt tình vẫy lighstick nhiệt tình như nhạc edm vậy
Toi ngồi cạnh 3ac dc tặng vé nên đi các ac k phải fan Ac nghe quăng miếng inside joke tên bài tên nhà k hiểu gì tí tí lại quay sang hỏi Nhưng các ac enjoy cực kì và cứ bật cười liên tục vì con bé bên cạnh là tôi hết ca cải lương r lại hú vina house dễ huông lắmmm,"quăng miếng, dễ huông",,Toi ngồi cạnh 3 anh chị được tặng vé nên đi các anh chị không phải fan Anh chị nghe kể chuyện inside joke tên bài tên nhà không hiểu gì tí tí lại quay sang hỏi Nhưng các anh chị enjoy cực kì và cứ bật cười liên tục vì con bé bên cạnh là tôi hết ca cải lương rồi lại hú vina house dễ thương lắmmm
mọi người hát chèo với Dạ cổ hoài lang cực ckat í,,,mọi người hát chèo với Dạ cổ hoài lang cực chất í
tự hỏi ATVNCG không có tệp fan như bây giờ tệp fan chịu chi chịu đi gieo hạt chịu đứng ra bảo vệ thì không biết chương trình nó đi về đâu nữa,gieo hạt,ATVNCG,tự hỏi anh trai vượt ngàn chông gai không có tệp fan như bây giờ tệp fan chịu chi chịu đi lan tỏa chịu đứng ra bảo vệ thì không biết chương trình nó đi về đâu nữa
Bác nông dân đang gieo hạt cây đu đủ để sang năm mang ra chợ đi bán,,,Bác nông dân đang gieo hạt cây đu đủ để sang năm mang ra chợ đi bán
Thật nhiều lúc tự hỏi Y1 có bao giờ thật sự làm truyền thông cho CG chưa cảm thấy iu mấy nhỏ đối tác gieo hạt lắm lắm luôn,gieo hạt,"CG, iu",Thật nhiều lúc tự hỏi Y1 có bao giờ thật sự làm truyền thông cho chông gai chưa cảm thấy yêu mấy nhỏ đối tác lan tỏa lắm lắm luôn
Ekip Đi lên từ thực lực xứng danh luôn chứ bị dàn cast spoil còn vô cmt lau nước mắt thì làm gì nổi cái truyền thông mạnh Mà chưa kể conme Gai comcert HN đã mạnh dạn không thèm chạy ads như day1 luôn là đã quá khen với mẻ rồi chứ đừng mong ekip nổi gió lên,,HN,Ekip Đi lên từ thực lực xứng danh luôn chứ bị dàn cast spoil còn vô cmt lau nước mắt thì làm gì nổi cái truyền thông mạnh Mà chưa kể conme Gai comcert Hà nội đã mạnh dạn không thèm chạy ads như day1 luôn là đã quá khen với mẻ rồi chứ đừng mong ekip nổi gió lên
Mỗi lúc săn vé chỉ mong chương trình flop chứ săn fmt không trúng cái nào cc tgif càng đừng nói,,,Mỗi lúc săn vé chỉ mong chương trình flop chứ săn fmt không trúng cái nào cc tgif càng đừng nói
nhma vẫn đ hiểu bằng 1 thế lực nào đó mà ekip rải rác toàn cõi mxh để canh chừng gai con lẫn anh tài không có việc này thì cũng còn việc khác đi canh me gai con lên bài hít ke tâm sự tuổi hồng con hỏi mẹ tl ê t thấy cũm không có nhàn mấy hâhhaa,"gai con, hít ke, tâm sự tuổi hồng, đ, cũm",,nhma vẫn không hiểu bằng 1 thế lực nào đó mà ekip rải rác toàn cõi mạng xã hội để canh chừng người ủng hộ chương trình anh trai vượt ngàn chông gai lẫn anh tài không có việc này thì cũng còn việc khác đi canh me chương trình anh trai vượt ngàn chông gai lên bài chia sẻ về quá khứ con hỏi mẹ trả lời ê tôi thấy cũng không có nhàn mấy hâhhaa
Sơ sểnh gặp chính quyền mà Conmegai biết quá nhiều nhe,"chính quyền, conmegai",,Sơ sểnh gặp người có thẩm quyền cao mà ban tổ chức chương trình anh trai vượt ngàn chông gai biết quá nhiều nhe
Chính quyền thành phố HP vừa ban ra công bố về việc phòng chống ma túy,,,Chính quyền thành phố hải phòng vừa ban ra công bố về việc phòng chống ma túy
Dưới gầm cầu có mấy thằng đang hít ke,,,Dưới gầm cầu có mấy thằng đang hít ke
Đi lên nhờ thực lực nên kiểu gì cũng thành công t đây cả đời chưa từng yêu thích hâm mộ ai ai đẹp trai hát hay tài năng cùng lắm khen miệng 1 câu chứ k bình luận trên mạng seeding Mà Gai mẹ biến t từ 1 đứa dùng clone để seeding nay t cấm fb chính chủ t đi ghẹo Gai và các anh đi ồn khắp nơi vì quá yêu quá mê phải bế thôi,Gai mẹ,,Đi lên nhờ thực lực nên kiểu gì cũng thành công tui đây cả đời chưa từng yêu thích hâm mộ ai ai đẹp trai hát hay tài năng cùng lắm khen miệng 1 câu chứ không bình luận trên mạng seeding Mà ban tổ chức chương trình anh trai vượt ngàn chông gai biến tui từ 1 đứa dùng clone để seeding nay tui cấm fb chính chủ tui đi ghẹo ban tổ chức chương trình anh trai vượt ngàn chông gai và các anh đi ồn khắp nơi vì quá yêu quá mê phải bế thôi
Có qua có lại ekip có tâm các anh các chú có tầm đoàn kết và tài năng nội dung chương trình làm lan toả giá trị văn hoá lịch sử dân tộc nâng niu tình cảm gia đình và giá trị mỗi người một ekip biết lắng nghe biết thay đổi tích cực thì hiển nhiên fan sẽ quý cả các anh và ekip Từ đó ATVNCG có tệp fan như bây giờ thôi Chả có nhà nào kêu fan thấy ai khả nghi thì báo lại ekip cũng chẳng có fan nào có việc cũng cứ Gai mẹ aka Con mẹ gai đâu Vậy nên Gai con yêu Gai mẹ rất nhiều,"Gai con, Gai mẹ, Con mẹ gai ",ATVNCG,Có qua có lại ekip có tâm các anh các chú có tầm đoàn kết và tài năng nội dung chương trình làm lan toả giá trị văn hoá lịch sử dân tộc nâng niu tình cảm gia đình và giá trị mỗi người một ekip biết lắng nghe biết thay đổi tích cực thì hiển nhiên fan sẽ quý cả các anh và ekip Từ đó anh trai vượt ngàn chông gai có tệp fan như bây giờ thôi Chả có nhà nào kêu fan thấy ai khả nghi thì báo lại ekip cũng chẳng có fan nào có việc cũng cứ ban tổ chức chương trình anh trai vượt ngàn chông gai aka ban tổ chức chương trình anh trai vượt ngàn chông gai đâu Vậy nên những người ủng hộ chương trình anh trai vượt ngàn chông gai yêu ban tổ chức chương trình anh trai vượt ngàn chông gai rất nhiều
CG flop thì ko biết bao giờ tui mới thấy được bộ mặt thật của ttb real ,ttb,CG,chương trình anh trai vượt ngàn chông gai flop thì không biết bao giờ tui mới thấy được bộ mặt thật của làm xấu hình ảnh người khác real 
